 ;Label;Area;Perim.;Major;Minor;Angle;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Group;AR2;Equivalent Diameter;Circ sqrt
185;210902_#6_100_10_1um_i004.tif:1124-0849;2577.992;514.253;91.895;35.719;8.722;0.123;124.568;825;1126;12.653;57.001;2.573;0.389;0.503;0;0.457589429;57.2922452;0.350000674
185;210902_#4_100_30_1um_i002.tif:0719-0139;1015.2;243.146;53.416;24.198;96.747;0.216;70.552;137;733;79.875;36.096;2.207;0.453;0.548;0;0.511622633;35.95264644;0.464529829
185;210902_#5_100_20_1um_i005.tif:1492-1236;1298.225;226.707;66.807;24.742;41.94;0.317;76.413;1224;1502;35.754;37.703;2.7;0.37;0.636;0;0.493410807;40.65650511;0.563397592
186;210902_#6_100_10_1um_i004.tif:1354-0672;1408.974;267.951;87.853;20.42;35.835;0.247;94.973;657;1367;40.764;34.388;4.302;0.232;0.562;0;0.362081855;42.35518167;0.49659351
186;210902_#4_100_30_1um_i002.tif:0506-0193;1212.087;221.746;53.286;28.962;173.803;0.31;63.579;181;502;159.444;32.246;1.84;0.544;0.722;0;0.507180044;39.28456567;0.556565182
186;210902_#5_100_20_1um_i005.tif:0332-2357;682.953;232.27;39.342;22.103;10.555;0.159;56.672;2347;338;23.199;32.16;1.78;0.562;0.548;0;0.567476002;29.48834968;0.398847818
187;210902_#6_100_10_1um_i004.tif:1276-0517;1267.462;306.787;67.909;23.764;120.488;0.169;96.324;507;1260;124.509;37.809;2.858;0.35;0.497;0;0.392518998;40.17191481;0.411372687
187;210902_#4_100_30_1um_i002.tif:0455-0225;166.124;48.509;16.969;12.464;111.309;0.887;18.058;224;452;105.945;13.312;1.361;0.735;0.831;0;0.737180197;14.54357749;0.941886994
187;210902_#5_100_20_1um_i005.tif:0095-1354;806.007;165.121;40.51;25.333;20.833;0.371;45.264;1345;96;9.462;32.633;1.599;0.625;0.712;0;0.720948215;32.03498066;0.60949764
188;210902_#6_100_10_1um_i004.tif:1519-0818;1648.931;349.132;61.586;34.09;146.813;0.17;94.941;802;1510;146.725;59.902;1.807;0.554;0.455;0;0.630939215;45.82012828;0.412303021
188;210902_#4_100_30_1um_i002.tif:0474-0227;264.567;65.447;19.041;17.691;131.107;0.776;22.869;224;471;139.399;19.844;1.076;0.929;0.782;0;0.867724868;18.35366902;0.881014436
188;210902_#5_100_20_1um_i005.tif:0230-1297;818.313;163.917;53.704;19.401;78.212;0.383;57.694;1292;241;64.537;27.69;2.768;0.361;0.65;0;0.479945922;32.27860703;0.618643794
189;210902_#6_100_10_1um_i004.tif:1602-0695;4036.189;766.118;145.163;35.402;78.841;0.086;174.164;689;1635;72.597;60.414;4.1;0.244;0.456;0;0.346879952;71.68706609;0.293964585
189;210902_#4_100_30_1um_i002.tif:0433-0288;559.898;194.285;46.704;15.264;23.961;0.186;63.24;277;440;25.56;24.412;3.06;0.327;0.516;0;0.386021505;26.69989278;0.431737844
189;210902_#5_100_20_1um_i005.tif:0775-0479;806.007;189.324;44.196;23.22;128.406;0.283;56.618;469;771;151.189;32.742;1.903;0.525;0.594;0;0.578296655;32.03498066;0.531580042
190;210902_#6_100_10_1um_i004.tif:1747-0472;5371.33;612.724;123.104;55.555;144.408;0.18;156.289;446;1726;144.039;75.675;2.216;0.451;0.667;0;0.484199144;82.69818477;0.424014744
190;210902_#4_100_30_1um_i002.tif:0093-0346;787.549;147.229;43.748;22.921;123.802;0.457;51.136;338;85;140.906;34.129;1.909;0.524;0.684;0;0.667416302;31.66604696;0.675694466
190;210902_#5_100_20_1um_i005.tif:1731-1110;1107.491;217.637;69.312;20.344;21.113;0.294;82.455;1095;1735;21.161;31.545;3.407;0.294;0.6;0;0.382572312;37.55131604;0.542053689
191;210902_#6_100_10_1um_i004.tif:1672-0493;1052.116;177.949;51.402;26.061;80.944;0.418;58.96;490;1684;75.379;32.246;1.972;0.507;0.742;0;0.546913161;36.60048766;0.646161671
191;210902_#4_100_30_1um_i002.tif:0051-0517;1027.505;158.957;50.096;26.115;137.394;0.511;55.075;508;42;125.838;30.487;1.918;0.521;0.791;0;0.553554244;36.16987695;0.714853827
191;210902_#5_100_20_1um_i005.tif:1510-1863;1938.109;378.046;74.909;32.942;61.02;0.17;93.372;1851;1525;50.389;54.57;2.274;0.44;0.516;0;0.584436448;49.67571862;0.412809216
192;210902_#6_100_10_1um_i004.tif:1690-0516;744.48;145.527;40.344;23.495;97.992;0.442;48.162;514;1700;78.111;28.28;1.717;0.582;0.731;0;0.587184918;30.78800702;0.66464214
192;210902_#4_100_30_1um_i002.tif:0109-0570;4331.519;735.397;100.437;54.911;26.6;0.101;129.84;544;117;6.582;83.688;1.829;0.547;0.503;0;0.644547135;74.26345858;0.317251139
192;210902_#5_100_20_1um_i005.tif:1314-2379;602.967;134.401;42.991;17.858;43.072;0.419;51.076;2370;1319;29.055;24.309;2.407;0.415;0.653;0;0.475937818;27.70778642;0.647663174
193;210902_#6_100_10_1um_i004.tif:1291-1349;1796.596;262.638;72.659;31.483;97.363;0.327;86.639;1348;1274;103.241;43.926;2.308;0.433;0.686;0;0.507000312;47.82778558;0.572100838
193;210902_#4_100_30_1um_i002.tif:0160-0993;1138.254;162.464;51.375;28.21;107.838;0.542;55.742;990;150;110.854;34.388;1.821;0.549;0.824;0;0.616913638;38.06927902;0.736151808
193;210902_#5_100_20_1um_i005.tif:0268-1643;990.589;251.865;40.481;31.157;50.261;0.196;58.96;1632;268;14.621;43.656;1.299;0.77;0.563;0;0.740434193;35.5141815;0.442979738
194;210902_#6_100_10_1um_i004.tif:1137-1317;1378.211;264.693;64.148;27.355;64.495;0.247;80.491;1309;1150;56.31;42.096;2.345;0.426;0.566;0;0.522990148;41.89024643;0.497187649
194;210902_#4_100_30_1um_i002.tif:0156-1010;141.513;47.056;14.509;12.418;111.766;0.803;18.058;1009;153;105.945;14.032;1.168;0.856;0.78;0;0.777051722;13.42311244;0.896165238
194;210902_#5_100_20_1um_i005.tif:0339-2031;301.484;77.423;29.673;12.936;179.431;0.632;30.176;2025;338;170.538;14.883;2.294;0.436;0.803;0;0.493206522;19.59237992;0.794999894
195;210902_#6_100_10_1um_i004.tif:0022-2237;406.08;85.29;29.8;17.35;173.33;0.701;31.08;2232;24;28.61;19.844;1.718;0.582;0.852;0;0.638481338;22.73845013;0.837553616
195;210902_#4_100_30_1um_i002.tif:0135-1066;227.651;58.431;21.355;13.573;122.513;0.838;23.401;1064;131;122.005;16.472;1.573;0.636;0.841;0;0.703901543;17.02510663;0.915369408
195;210902_#5_100_20_1um_i005.tif:0103-1986;55.375;27.461;10.417;6.768;150.482;0.923;12.402;1984;102;143.13;7.441;1.539;0.65;0.9;0;0.599983874;8.39676365;0.960606351
196;210902_#6_100_10_1um_i004.tif:0012-2303;258.415;65.447;21.956;14.986;81.25;0.758;25.897;2303;17;73.301;17.026;1.465;0.683;0.808;0;0.65745067;18.13902415;0.870711033
196;210902_#4_100_30_1um_i002.tif:0143-0969;190.735;56.978;17.78;13.659;9.92;0.738;21.193;965;146;20.556;14.883;1.302;0.768;0.816;0;0.70226018;15.58368841;0.859236917
196;210902_#5_100_20_1um_i005.tif:0804-1455;486.065;107.542;37.122;16.671;87.027;0.528;39.765;1455;796;93.576;21.226;2.227;0.449;0.738;0;0.533785993;24.8772422;0.726731522
197;210902_#6_100_10_1um_i004.tif:0073-2390;689.105;194.285;59.773;14.679;62.082;0.229;67.704;2382;85;61.557;22.47;4.072;0.246;0.556;0;0.331885856;29.62086657;0.478970053
197;210902_#4_100_30_1um_i002.tif:0064-1079;6688.014;1039.279;108.713;78.329;98.381;0.078;154.527;1084;35;108.726;111.399;1.388;0.721;0.522;0;0.720903143;92.27916287;0.278946789
197;210902_#5_100_20_1um_i005.tif:1421-2181;258.415;97.869;21.73;15.141;87.733;0.339;27.732;2177;1426;63.435;19.844;1.435;0.697;0.622;0;0.715563248;18.13902415;0.582262259
198;210902_#6_100_10_1um_i004.tif:0379-2360;941.367;220.293;54.929;21.821;47.641;0.244;66.743;2354;390;48.013;35.035;2.517;0.397;0.548;0;0.524923962;34.62059633;0.49372341
198;210902_#4_100_30_1um_i002.tif:0229-1097;11308.711;1978.737;166.279;86.593;80.31;0.036;241.231;1082;278;85.872;164.743;1.92;0.521;0.409;0;0.682926324;119.9945751;0.190512471
198;210902_#5_100_20_1um_i005.tif:1448-2222;246.109;108.393;19.492;16.076;20.458;0.263;35.515;2216;1449;24.775;23.099;1.212;0.825;0.452;0;0.650401239;17.70185615;0.513059157
199;210902_#6_100_10_1um_i004.tif:0429-2375;504.524;146.98;28.067;22.888;100.709;0.293;39.22;2376;422;108.435;34.135;1.226;0.815;0.547;0;0.870346762;25.3452147;0.541735884
199;210902_#4_100_30_1um_i002.tif:0276-0907;2830.254;440.939;109.77;32.829;126.64;0.183;128.339;888;259;138.918;46.218;3.344;0.299;0.61;0;0.360124358;60.02992016;0.427699877
199;210902_#5_100_20_1um_i005.tif:0818-1746;1482.807;216.785;54.322;34.755;20.883;0.396;62.16;1736;828;28.61;39.41;1.563;0.64;0.78;0;0.634009009;43.4507596;0.629677271
200;210902_#6_100_10_1um_i004.tif:0313-2266;381.469;99.924;34.547;14.059;118.089;0.48;41.059;2263;306;115.017;18.041;2.457;0.407;0.738;0;0.439392094;22.03863462;0.692890723
200;210902_#4_100_30_1um_i002.tif:0271-0967;664.494;135.252;47.981;17.633;144.952;0.456;53.661;958;267;146.31;25.098;2.721;0.367;0.651;0;0.467713982;29.0871112;0.675626644
200;210902_#5_100_20_1um_i005.tif:0965-1175;381.469;98.471;26.723;18.175;125.21;0.494;32.341;1172;959;122.471;23.068;1.47;0.68;0.721;0;0.713274172;22.03863462;0.703114751
201;210902_#6_100_10_1um_i004.tif:0587-2309;1827.36;294.811;70.39;33.054;38.005;0.264;84.372;2294;592;24.305;49.111;2.13;0.47;0.624;0;0.582076992;48.23553684;0.514012056
201;210902_#4_100_30_1um_i002.tif:0489-0978;4386.894;679.623;85.028;65.691;103.973;0.119;107.693;961;468;104.676;91.584;1.294;0.773;0.615;0;0.85041739;74.73665044;0.345474053
201;210902_#5_100_20_1um_i005.tif:1268-0937;190.735;63.994;20.738;11.711;32.667;0.585;26.368;933;1272;48.814;15.786;1.771;0.565;0.681;0;0.598680218;15.58368841;0.765034238
202;210902_#6_100_10_1um_i004.tif:0608-2450;996.742;233.474;52.404;24.217;96.832;0.23;62.457;2453;596;96.843;36.461;2.164;0.462;0.621;0;0.583777639;35.62430814;0.47935558
202;210902_#4_100_30_1um_i002.tif:0422-0918;1415.127;315.858;49.78;36.195;178.346;0.178;77.054;905;434;33.179;55.206;1.375;0.727;0.453;0;0.716458587;42.44756362;0.422192739
202;210902_#5_100_20_1um_i005.tif:1665-1455;701.411;139.964;37.639;23.727;7.916;0.45;44.923;1446;1668;6.34;27.888;1.586;0.63;0.726;0;0.620795584;29.88418013;0.670771918
203;210902_#6_100_10_1um_i004.tif:0777-2334;566.051;146.378;38.929;18.514;131.608;0.332;51.136;2328;769;129.094;27.518;2.103;0.476;0.652;0;0.538133605;26.84620118;0.576178308
203;210902_#4_100_30_1um_i002.tif:0444-0790;3654.72;579.45;84.472;55.087;57.098;0.137;115.814;770;461;43.264;82.37;1.533;0.652;0.569;0;0.711226622;68.21535039;0.369841822
203;210902_#5_100_20_1um_i005.tif:0648-0788;227.651;59.884;23.153;12.519;154.728;0.798;25.538;784;646;150.945;14.883;1.849;0.541;0.86;0;0.582778604;17.02510663;0.893159273
204;210902_#6_100_10_1um_i004.tif:0836-2135;461.454;89.4;27.624;21.269;75.634;0.726;33.094;2133;843;77.005;22.324;1.299;0.77;0.833;0;0.674563365;24.23925496;0.851788202
204;210902_#4_100_30_1um_i002.tif:0330-0334;3137.89;645.146;98.415;40.597;83.783;0.095;129.84;330;304;96.582;68.999;2.424;0.413;0.48;0;0.531415588;63.20827189;0.307797991
204;210902_#5_100_20_1um_i005.tif:0691-2282;135.36;48.509;14.223;12.117;11.002;0.723;18.891;2279;689;156.801;12.402;1.174;0.852;0.786;0;0.656503097;13.1280503;0.850213082
205;210902_#6_100_10_1um_i004.tif:0830-2004;479.913;92.908;27.716;22.047;13.836;0.699;32.246;1998;833;22.62;22.324;1.257;0.795;0.857;0;0.692302921;24.71930844;0.835859106
205;210902_#4_100_30_1um_i002.tif:0249-0557;3697.789;398.243;79.511;59.214;73.221;0.293;104.651;553;268;58.57;80.303;1.343;0.745;0.645;0;0.767340971;68.6161146;0.541287308
205;210902_#5_100_20_1um_i005.tif:1243-2141;264.567;100.526;21.26;15.845;135.608;0.329;31.571;2136;1239;135;21.077;1.342;0.745;0.585;0;0.667606348;18.35366902;0.573580484
206;210902_#6_100_10_1um_i004.tif:0660-2236;1335.142;267.349;72.033;23.6;9.244;0.235;89.055;2219;666;12.875;39.688;3.052;0.328;0.541;0;0.445657178;41.23051773;0.48449589
206;210902_#4_100_30_1um_i002.tif:0097-0215;2264.203;486.542;63.609;45.321;92.61;0.12;94.941;212;80;109.855;66.973;1.404;0.712;0.505;0;0.705417048;53.69239049;0.346690768
206;210902_#5_100_20_1um_i005.tif:1153-1211;572.204;147.582;39.059;18.653;129.617;0.33;42.386;1209;1145;110.556;23.813;2.094;0.478;0.657;0;0.561812863;26.99171652;0.574575343
207;210902_#6_100_10_1um_i004.tif:1034-1635;270.72;85.892;23.551;14.636;140.109;0.461;30.278;1630;1029;145.008;21.496;1.609;0.621;0.633;0;0.709954422;18.56586679;0.679066627
207;210902_#4_100_30_1um_i002.tif:0329-0088;922.909;211.825;53.529;21.952;91.394;0.258;66.789;86;316;105.068;30.542;2.438;0.41;0.576;0;0.457290871;34.27950167;0.508401891
208;210902_#6_100_10_1um_i004.tif:1294-1753;449.149;115.409;42.982;13.305;46.757;0.424;45.738;1748;1301;49.399;20.393;3.23;0.31;0.679;0;0.445865582;23.91389279;0.650969248
208;210902_#4_100_30_1um_i002.tif:0330-0138;1981.178;441.79;80.134;31.479;74.932;0.128;100.451;129;348;57.095;47.527;2.546;0.393;0.5;0;0.473136156;50.22463713;0.357150119
209;210902_#6_100_10_1um_i004.tif:1317-1869;264.567;72.462;26.138;12.888;32.297;0.633;31.08;1864;1321;28.61;15.786;2.028;0.493;0.827;0;0.507915058;18.35366902;0.79572399
209;210902_#4_100_30_1um_i002.tif:0283-0165;842.924;230.817;41.365;25.946;51.947;0.199;59.168;159;293;56.976;43.297;1.594;0.627;0.496;0;0.731763791;32.76040552;0.445893714
210;210902_#6_100_10_1um_i004.tif:1355-1896;190.735;54.923;21.174;11.469;170.082;0.795;22.869;1892;1354;167.471;12.402;1.846;0.542;0.838;0;0.542306179;15.58368841;0.891386141
210;210902_#4_100_30_1um_i002.tif:0241-0142;387.622;117.463;30.93;15.956;73.267;0.353;40.073;141;249;68.199;22.978;1.938;0.516;0.583;0;0.573403539;22.21566247;0.59416635
211;210902_#6_100_10_1um_i004.tif:1380-1917;313.789;113.956;34.567;11.558;117.247;0.304;39.996;1914;1373;119.745;17.964;2.991;0.334;0.523;0;0.449144914;19.98821061;0.5510444
211;210902_#4_100_30_1um_i002.tif:0262-0335;756.785;204.559;64.091;15.034;130.908;0.227;73.75;325;251;132.274;22.431;4.263;0.235;0.577;0;0.304149153;31.04140121;0.476730127
212;210902_#6_100_10_1um_i004.tif:0732-1879;806.007;200.699;59.217;17.33;124.865;0.251;70.508;1870;722;129.289;28.206;3.417;0.293;0.53;0;0.400039712;32.03498066;0.501451726
212;210902_#4_100_30_1um_i002.tif:0576-0219;775.244;193.683;72.147;13.681;89.921;0.26;72.615;217;591;82.147;19.844;5.273;0.19;0.627;0;0.273276871;31.41769116;0.509603774
213;210902_#6_100_10_1um_i004.tif:0695-1958;553.745;123.877;31.697;22.243;110.867;0.453;38.746;1955;689;129.806;31.064;1.425;0.702;0.732;0;0.801734373;26.55277823;0.673393875
213;210902_#4_100_30_1um_i002.tif:0423-0408;344.553;81.782;29.847;14.698;156.752;0.647;35.515;402;420;155.225;17.363;2.031;0.492;0.842;0;0.488892017;20.94513081;0.804591097
214;210902_#6_100_10_1um_i004.tif:0583-1748;258.415;68.955;22.607;14.554;156.295;0.683;25.897;1743;581;163.301;17.257;1.553;0.644;0.792;0;0.666370622;18.13902415;0.826414691
214;210902_#4_100_30_1um_i002.tif:0449-0517;559.898;141.417;38.34;18.594;44.045;0.352;47.389;511;456;42.879;26.293;2.062;0.485;0.634;0;0.5548334;26.69989278;0.593140761
215;210902_#6_100_10_1um_i004.tif:0435-1786;2122.691;299.772;63.776;42.378;20.058;0.297;86.283;1770;437;18.435;55.476;1.505;0.664;0.669;0;0.642954;51.98744197;0.544825286
215;210902_#4_100_30_1um_i002.tif:0504-0507;1009.047;233.121;74.196;17.316;5.092;0.233;81.252;491;507;12.339;30.771;4.285;0.233;0.55;0;0.378710678;35.84352861;0.483035703
216;210902_#6_100_10_1um_i004.tif:0320-2111;455.302;142.87;47.47;12.212;92.87;0.28;51.794;2109;330;73.301;19.844;3.887;0.257;0.527;0;0.383133181;24.07713669;0.529436241
216;210902_#4_100_30_1um_i002.tif:0552-0510;369.164;84.439;28.538;16.47;4.105;0.651;33.094;504;555;12.995;21.658;1.733;0.577;0.755;0;0.654438871;21.68027221;0.80662471
217;210902_#6_100_10_1um_i004.tif:0465-1960;621.425;128.236;39.5;20.031;174.808;0.475;43.32;1952;461;156.371;22.324;1.972;0.507;0.789;0;0.515327793;28.12868436;0.689111234
217;210902_#4_100_30_1um_i002.tif:0335-0507;682.953;171.784;34.847;24.954;117.889;0.291;46.339;507;326;105.524;37.651;1.396;0.716;0.565;0;0.812512139;29.48834968;0.539284117
218;210902_#4_100_30_1um_i002.tif:0657-0168;1187.476;180.253;52.706;28.686;68.106;0.459;59.168;162;667;56.976;37.435;1.837;0.544;0.744;0;0.632689968;38.88369069;0.677695889
219;210902_#6_100_10_1um_i004.tif:0165-1788;1021.353;225.254;46.584;27.916;7.146;0.253;60.809;1776;167;11.768;32.246;1.669;0.599;0.643;0;0.530283346;36.06143409;0.502944837
219;210902_#4_100_30_1um_i002.tif:0499-0098;369.164;110.448;34.473;13.635;81.81;0.38;37.944;96;492;101.31;19.844;2.528;0.396;0.635;0;0.522981236;21.68027221;0.616675575
220;210902_#6_100_10_1um_i004.tif:0126-1813;153.818;47.907;16.335;11.99;3.58;0.842;18.891;1810;127;23.199;12.402;1.362;0.734;0.862;0;0.656503097;13.99454037;0.917718605
220;210902_#4_100_30_1um_i002.tif:0589-0086;1396.669;336.304;61.961;28.7;33.473;0.155;76.574;73;594;24.905;47.752;2.159;0.463;0.499;0;0.623605924;42.16982573;0.393930535
221;210902_#6_100_10_1um_i004.tif:0072-1557;892.145;208.918;42.51;26.721;117.184;0.257;56.236;1551;62;131.424;37.158;1.591;0.629;0.633;0;0.66075112;33.70332763;0.50681189
221;210902_#4_100_30_1um_i002.tif:0642-0054;307.636;137.909;23.336;16.785;147.057;0.203;35.515;48;639;155.225;24.805;1.39;0.719;0.485;0;0.69843728;19.7912688;0.450848782
222;210902_#6_100_10_1um_i004.tif:0216-1584;1125.949;230.817;54.538;26.286;96.779;0.266;70.552;1580;202;100.125;36.798;2.075;0.482;0.607;0;0.521572741;37.86294748;0.51534314
222;210902_#4_100_30_1um_i002.tif:0937-0304;2510.312;529.136;95.379;33.511;51.605;0.113;122.526;288;958;58.241;56.555;2.846;0.351;0.498;0;0.461575502;56.53519707;0.335661455
223;210902_#6_100_10_1um_i004.tif:0177-1470;227.651;56.376;21.597;13.421;67.881;0.9;23.401;1468;181;57.995;14.883;1.609;0.621;0.902;0;0.635998462;17.02510663;0.948736163
