 ;Label;Area;Perim.;Major;Minor;Angle;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Group;AR2;Equivalent Diameter;Circ sqrt
169;210902_#4_100_30_1um_i002.tif:0124-0106;2977.92;438.884;94.39;40.169;85.995;0.194;113.371;102;147;79.919;53.536;2.35;0.426;0.654;0;0.472219527;61.57601404;0.440769664
169;210902_#5_100_20_1um_i005.tif:0539-2012;2682.589;467.197;67.979;50.245;9.165;0.154;109.253;1990;535;177.397;74.108;1.353;0.739;0.476;0;0.67831547;58.44294993;0.392990413
170;210902_#4_100_30_1um_i002.tif:0174-0182;836.771;189.075;45.89;23.216;153.454;0.294;59.168;172;169;146.976;32.056;1.977;0.506;0.598;0;0.54177934;32.64061775;0.542343117
170;210902_#5_100_20_1um_i005.tif:0529-2408;2454.938;399.696;62.957;49.649;61.143;0.193;82.901;2395;539;51.072;64.96;1.268;0.789;0.596;0;0.78358524;55.90817598;0.439435759
171;210902_#4_100_30_1um_i002.tif:0406-0210;1790.443;217.387;65.386;34.865;143.54;0.476;71.934;201;396;136.397;43.69;1.875;0.533;0.774;0;0.607362304;47.74581479;0.690004007
171;210902_#5_100_20_1um_i005.tif:0753-2024;153.818;57.58;19.718;9.932;51.423;0.583;21.338;2021;756;35.538;14.279;1.985;0.504;0.667;0;0.669181741;13.99454037;0.763548893
172;210902_#4_100_30_1um_i002.tif:0205-0076;965.978;221.145;48.448;25.387;27.002;0.248;67.019;66;214;38.991;40.303;1.908;0.524;0.548;0;0.601366777;35.07023509;0.498208835
172;210902_#5_100_20_1um_i005.tif:0805-2022;1187.476;331.343;58.644;25.782;44.001;0.136;73.289;2017;819;66.038;39.606;2.275;0.44;0.464;0;0.54040852;38.88369069;0.368671489
173;210902_#4_100_30_1um_i002.tif:0259-0014;639.884;137.307;48.319;16.861;81.115;0.427;52.619;14;270;81.87;21.891;2.866;0.349;0.705;0;0.416028431;28.54339876;0.653074729
173;210902_#5_100_20_1um_i005.tif:1214-1440;3445.527;611.271;149.791;29.287;59.809;0.116;179.641;1420;1244;54.554;53.135;5.115;0.196;0.492;0;0.29578437;66.23429043;0.340407381
174;210902_#4_100_30_1um_i002.tif:0305-0109;719.869;182.308;47.434;19.323;157.088;0.272;53.661;100;299;146.31;28.099;2.455;0.407;0.639;0;0.523639142;30.27483572;0.521706132
174;210902_#5_100_20_1um_i005.tif:1172-1492;1365.905;266.146;54.975;31.635;100.8;0.242;72.317;1487;1158;95.906;47.408;1.738;0.575;0.611;0;0.655558168;41.70280878;0.492260781
175;210902_#4_100_30_1um_i002.tif:0579-0294;2227.287;348.281;87.611;32.369;133.577;0.231;105.296;283;564;133.091;49.066;2.707;0.369;0.58;0;0.465981614;53.25288617;0.480356023
175;210902_#5_100_20_1um_i005.tif:1300-0368;1119.796;255.373;50.956;27.98;44.778;0.216;62.21;364;1312;66.501;40.652;1.821;0.549;0.557;0;0.653464073;37.75935049;0.464514644
176;210902_#4_100_30_1um_i002.tif:0560-0437;1962.72;273.763;87.107;28.689;22.689;0.329;91.206;421;568;22.38;44.491;3.036;0.329;0.651;0;0.48780782;49.99012622;0.573666322
176;210902_#5_100_20_1um_i005.tif:1214-0537;412.233;99.924;31.462;16.683;27.768;0.519;35.774;531;1219;33.69;21.049;1.886;0.53;0.779;0;0.588388215;22.91007109;0.72028853
177;210902_#4_100_30_1um_i002.tif:0606-0448;1304.378;310.897;71.635;23.184;49.366;0.17;97.845;436;623;59.534;38.711;3.09;0.324;0.483;0;0.395635955;40.75273796;0.411803595
177;210902_#5_100_20_1um_i005.tif:0434-1192;504.524;106.338;33.451;19.204;157.339;0.561;38.507;1185;434;165.069;23.941;1.742;0.574;0.735;0;0.621731114;25.3452147;0.748785385
178;210902_#6_100_10_1um_i004.tif:0150-0041;2122.691;283.083;82.214;32.874;168.267;0.333;93.504;23;140;158.199;47.596;2.501;0.4;0.634;0;0.509026352;51.98744197;0.576945157
178;210902_#4_100_30_1um_i002.tif:0578-0617;5685.119;722.32;128.262;56.435;8.227;0.137;162.504;585;579;12.339;91.838;2.273;0.44;0.521;0;0.565143012;85.07948241;0.370036932
178;210902_#5_100_20_1um_i005.tif:0287-0140;1002.894;223.801;54.942;23.241;7.007;0.252;67.385;127;289;6.34;33.566;2.364;0.423;0.623;0;0.498122728;35.73407757;0.501614897
179;210902_#6_100_10_1um_i004.tif:0240-0169;953.673;195.136;56.514;21.486;3.259;0.315;66.187;156;246;12.995;27.285;2.63;0.38;0.729;0;0.412241075;34.84615009;0.561005704
179;210902_#4_100_30_1um_i002.tif:0598-0674;4546.865;674.663;147.636;39.213;124.254;0.126;168.179;652;571;127.208;60.072;3.765;0.266;0.58;0;0.35719085;76.08711009;0.354302379
179;210902_#5_100_20_1um_i005.tif:0351-0147;492.218;94.361;31.297;20.025;139.024;0.695;37.207;141;347;143.13;24.555;1.563;0.64;0.856;0;0.65995646;25.03420504;0.833472247
180;210902_#6_100_10_1um_i004.tif:0703-0938;1944.262;388.321;92.955;26.631;124.644;0.162;112.745;923;684;129.644;43.656;3.49;0.286;0.567;0;0.387210076;49.75450998;0.402523693
180;210902_#4_100_30_1um_i002.tif:0611-0777;4583.781;764.914;123.15;47.391;11.513;0.098;171.798;743;619;4.97;76.935;2.599;0.385;0.525;0;0.447822443;76.39536134;0.313764823
180;210902_#5_100_20_1um_i005.tif:1483-0765;1039.811;186.418;39.38;33.62;165.056;0.376;45.264;756;1484;9.462;39.104;1.171;0.854;0.79;0;0.863909509;36.38582807;0.61318891
181;210902_#6_100_10_1um_i004.tif:0425-0878;1876.582;401.75;74.919;31.892;81.253;0.146;105.296;873;446;74.982;46.831;2.349;0.426;0.51;0;0.444755736;48.88085936;0.382237084
181;210902_#4_100_30_1um_i002.tif:0719-0405;2430.327;444.946;71.555;43.245;46.713;0.154;113.127;387;735;37.875;66.575;1.655;0.604;0.529;0;0.588497883;55.62722753;0.392762469
181;210902_#5_100_20_1um_i005.tif:1615-0798;221.498;63.994;22.814;12.362;64.204;0.68;25.538;795;1620;60.945;15.904;1.846;0.542;0.783;0;0.622758243;16.79345148;0.824423912
182;210902_#6_100_10_1um_i004.tif:0475-0807;2559.534;602.2;84.614;38.515;140.456;0.089;105.529;788;470;156.448;55.8;2.197;0.455;0.521;0;0.528764605;57.08677522;0.297813673
182;210902_#4_100_30_1um_i002.tif:0725-0467;1685.847;254.521;65.147;32.948;110.409;0.327;72.317;462;711;95.906;44.648;1.977;0.506;0.72;0;0.617392868;46.33019606;0.571860882
182;210902_#5_100_20_1um_i005.tif:1422-0774;1058.269;302.428;52.046;25.889;52.601;0.145;67.476;763;1429;36.027;39.214;2.01;0.497;0.5;0;0.581154781;36.70735539;0.381312438
183;210902_#6_100_10_1um_i004.tif:0530-0453;1181.323;252.716;57.291;26.254;110.485;0.232;71.073;447;517;119.249;38.347;2.182;0.458;0.56;0;0.539543849;38.78282041;0.482121526
183;210902_#4_100_30_1um_i002.tif:0762-0472;892.145;225.856;68.649;16.547;64.36;0.22;76.614;466;776;60.945;25.514;4.149;0.241;0.554;0;0.333020075;33.70332763;0.468803691
183;210902_#5_100_20_1um_i005.tif:1587-0862;990.589;274.365;54.413;23.18;98.105;0.165;81.592;860;1572;109.537;36.754;2.347;0.426;0.471;0;0.450460829;35.5141815;0.406652057
184;210902_#6_100_10_1um_i004.tif:0773-1156;1101.338;213.879;48.775;28.75;165.884;0.303;59.635;1145;767;163.072;39.688;1.697;0.589;0.622;0;0.665515218;37.44685693;0.550043579
184;210902_#4_100_30_1um_i002.tif:0686-0310;572.204;125.932;39.305;18.536;74.924;0.453;43.32;307;694;66.371;26.255;2.121;0.472;0.715;0;0.606071099;26.99171652;0.673355289
184;210902_#5_100_20_1um_i005.tif:1565-0754;436.844;186.065;31.42;17.702;138.65;0.159;47.648;747;1560;141.34;27.732;1.775;0.563;0.486;0;0.582018133;23.58404239;0.398201996
